



---------------------------------------------
start:2024-07-06T17:33:36.068
---------------------------------------------




rank 24 | trajectory 22 of circuit 3 -- done
rank 7 | trajectory 139 of circuit 2 -- done
rank 5 | trajectory 13 of circuit 3 -- done
rank 21 | trajectory 24 of circuit 2 -- done
rank 4 | trajectory 37 of circuit 3 -- done
rank 2 | trajectory 142 of circuit 1 -- done
rank 5 | trajectory 70 of circuit 1 -- done
rank 13 | trajectory 186 of circuit 5 -- done
rank 1 | trajectory 124 of circuit 6 -- done
rank 14 | trajectory 93 of circuit 4 -- done
rank 4 | trajectory 149 of circuit 2 -- done
rank 1 | trajectory 49 of circuit 4 -- done
rank 11 | trajectory 155 of circuit 1 -- done
rank 3 | trajectory 71 of circuit 2 -- done
rank 10 | trajectory 120 of circuit 2 -- done
rank 22 | trajectory 32 of circuit 4 -- done
rank 14 | trajectory 139 of circuit 1 -- done
rank 25 | trajectory 77 of circuit 2 -- done
rank 3 | trajectory 15 of circuit 3 -- done
rank 13 | trajectory 166 of circuit 4 -- done
rank 15 | trajectory 96 of circuit 3 -- done
rank 3 | trajectory 86 of circuit 4 -- done
rank 17 | trajectory 161 of circuit 2 -- done
rank 7 | trajectory 162 of circuit 3 -- done
rank 3 | trajectory 51 of circuit 3 -- done
rank 6 | trajectory 141 of circuit 4 -- done
rank 4 | trajectory 124 of circuit 2 -- done
rank 1 | trajectory 120 of circuit 6 -- done
rank 1 | trajectory 94 of circuit 6 -- done
rank 5 | trajectory 187 of circuit 2 -- done
rank 11 | trajectory 88 of circuit 2 -- done
rank 25 | trajectory 136 of circuit 2 -- done
rank 20 | trajectory 170 of circuit 1 -- done
rank 0 | trajectory 67 of circuit 1 -- done
rank 22 | trajectory 52 of circuit 6 -- done
rank 9 | trajectory 179 of circuit 1 -- done
rank 18 | trajectory 82 of circuit 3 -- done
rank 23 | trajectory 12 of circuit 1 -- done
rank 4 | trajectory 73 of circuit 2 -- done
rank 0 | trajectory 20 of circuit 2 -- done
rank 1 | trajectory 164 of circuit 5 -- done
rank 8 | trajectory 72 of circuit 2 -- done
rank 25 | trajectory 46 of circuit 3 -- done
rank 0 | trajectory 119 of circuit 2 -- done
rank 17 | trajectory 143 of circuit 3 -- done
rank 23 | trajectory 154 of circuit 2 -- done
rank 9 | trajectory 58 of circuit 1 -- done
rank 16 | trajectory 115 of circuit 2 -- done
rank 11 | trajectory 34 of circuit 2 -- done
rank 0 | trajectory 46 of circuit 1 -- done
rank 23 | trajectory 157 of circuit 1 -- done
rank 20 | trajectory 67 of circuit 3 -- done
rank 6 | trajectory 26 of circuit 4 -- done
rank 5 | trajectory 55 of circuit 3 -- done
rank 1 | trajectory 149 of circuit 5 -- done
rank 4 | trajectory 64 of circuit 2 -- done
rank 3 | trajectory 96 of circuit 1 -- done
rank 1 | trajectory 91 of circuit 5 -- done
rank 9 | trajectory 110 of circuit 1 -- done
rank 22 | trajectory 105 of circuit 6 -- done
rank 0 | trajectory 60 of circuit 1 -- done
rank 11 | trajectory 37 of circuit 2 -- done
rank 22 | trajectory 135 of circuit 5 -- done
rank 10 | trajectory 39 of circuit 2 -- done
rank 0 | trajectory 30 of circuit 3 -- done
rank 11 | trajectory 124 of circuit 1 -- done
rank 5 | trajectory 181 of circuit 1 -- done
rank 2 | trajectory 90 of circuit 3 -- done
rank 11 | trajectory 137 of circuit 2 -- done
rank 1 | trajectory 140 of circuit 5 -- done
rank 24 | trajectory 12 of circuit 2 -- done
rank 3 | trajectory 24 of circuit 4 -- done
rank 22 | trajectory 23 of circuit 6 -- done
rank 11 | trajectory 64 of circuit 1 -- done
rank 3 | trajectory 57 of circuit 2 -- done
rank 21 | trajectory 45 of circuit 1 -- done
rank 15 | trajectory 77 of circuit 4 -- done
rank 6 | trajectory 30 of circuit 1 -- done
rank 16 | trajectory 129 of circuit 2 -- done
rank 8 | trajectory 114 of circuit 2 -- done
rank 11 | trajectory 156 of circuit 2 -- done
rank 7 | trajectory 121 of circuit 3 -- done
rank 8 | trajectory 175 of circuit 3 -- done
rank 9 | trajectory 162 of circuit 1 -- done
rank 6 | trajectory 126 of circuit 4 -- done
rank 24 | trajectory 148 of circuit 2 -- done
rank 11 | trajectory 59 of circuit 1 -- done
rank 21 | trajectory 41 of circuit 2 -- done
rank 15 | trajectory 150 of circuit 4 -- done
rank 20 | trajectory 136 of circuit 1 -- done
rank 14 | trajectory 147 of circuit 1 -- done
rank 6 | trajectory 135 of circuit 3 -- done
rank 22 | trajectory 134 of circuit 6 -- done
rank 14 | trajectory 48 of circuit 1 -- done
rank 8 | trajectory 171 of circuit 1 -- done
rank 4 | trajectory 125 of circuit 3 -- done
rank 0 | trajectory 64 of circuit 3 -- done
rank 9 | trajectory 7 of circuit 2 -- done
rank 2 | trajectory 144 of circuit 4 -- done
rank 9 | trajectory 157 of circuit 3 -- done
rank 22 | trajectory 163 of circuit 1 -- done
rank 21 | trajectory 87 of circuit 2 -- done
rank 15 | trajectory 134 of circuit 3 -- done
rank 3 | trajectory 165 of circuit 2 -- done
rank 8 | trajectory 127 of circuit 2 -- done
rank 14 | trajectory 116 of circuit 3 -- done
rank 13 | trajectory 48 of circuit 5 -- done
rank 25 | trajectory 140 of circuit 2 -- done
rank 13 | trajectory 130 of circuit 5 -- done
rank 21 | trajectory 27 of circuit 2 -- done
rank 12 | trajectory 35 of circuit 3 -- done
rank 2 | trajectory 25 of circuit 3 -- done
rank 1 | trajectory 35 of circuit 6 -- done
rank 19 | trajectory 80 of circuit 2 -- done
rank 21 | trajectory 184 of circuit 3 -- done
rank 11 | trajectory 108 of circuit 2 -- done
rank 13 | trajectory 146 of circuit 5 -- done
rank 7 | trajectory 144 of circuit 2 -- done
rank 16 | trajectory 6 of circuit 1 -- done
rank 5 | trajectory 35 of circuit 2 -- done
rank 5 | trajectory 101 of circuit 2 -- done
rank 13 | trajectory 158 of circuit 4 -- done
rank 25 | trajectory 56 of circuit 2 -- done
rank 19 | trajectory 139 of circuit 3 -- done
rank 8 | trajectory 92 of circuit 1 -- done
rank 8 | trajectory 79 of circuit 3 -- done
rank 3 | trajectory 122 of circuit 3 -- done
rank 24 | trajectory 111 of circuit 2 -- done
rank 21 | trajectory 130 of circuit 3 -- done
rank 5 | trajectory 43 of circuit 2 -- done
rank 21 | trajectory 6 of circuit 2 -- done
rank 21 | trajectory 34 of circuit 3 -- done
rank 19 | trajectory 4 of circuit 2 -- done
rank 18 | trajectory 83 of circuit 3 -- done
rank 11 | trajectory 99 of circuit 2 -- done
rank 15 | trajectory 39 of circuit 4 -- done
rank 8 | trajectory 177 of circuit 4 -- done
rank 8 | trajectory 146 of circuit 3 -- done
rank 4 | trajectory 94 of circuit 2 -- done
rank 10 | trajectory 25 of circuit 1 -- done
rank 18 | trajectory 174 of circuit 4 -- done
rank 8 | trajectory 8 of circuit 1 -- done
rank 18 | trajectory 189 of circuit 4 -- done
rank 10 | trajectory 104 of circuit 1 -- done
rank 7 | trajectory 97 of circuit 2 -- done
rank 19 | trajectory 38 of circuit 4 -- done
rank 0 | trajectory 159 of circuit 2 -- done
rank 9 | trajectory 71 of circuit 1 -- done
rank 4 | trajectory 84 of circuit 1 -- done
rank 9 | trajectory 192 of circuit 2 -- done
rank 24 | trajectory 102 of circuit 2 -- done
rank 2 | trajectory 174 of circuit 5 -- done
rank 19 | trajectory 142 of circuit 4 -- done
rank 12 | trajectory 18 of circuit 3 -- done
rank 20 | trajectory 3 of circuit 4 -- done
rank 7 | trajectory 176 of circuit 2 -- done
rank 9 | trajectory 16 of circuit 1 -- done
rank 24 | trajectory 155 of circuit 3 -- done
rank 3 | trajectory 79 of circuit 2 -- done
rank 14 | trajectory 91 of circuit 4 -- done
rank 24 | trajectory 40 of circuit 2 -- done
rank 1 | trajectory 168 of circuit 4 -- done
rank 12 | trajectory 40 of circuit 4 -- done
rank 20 | trajectory 129 of circuit 1 -- done
rank 13 | trajectory 161 of circuit 5 -- done
rank 17 | trajectory 178 of circuit 2 -- done
rank 7 | trajectory 41 of circuit 4 -- done
rank 19 | trajectory 191 of circuit 4 -- done
rank 3 | trajectory 189 of circuit 3 -- done
rank 10 | trajectory 93 of circuit 1 -- done
rank 16 | trajectory 46 of circuit 2 -- done
rank 0 | trajectory 141 of circuit 1 -- done
rank 12 | trajectory 57 of circuit 3 -- done
rank 23 | trajectory 61 of circuit 1 -- done
rank 3 | trajectory 33 of circuit 4 -- done
rank 12 | trajectory 5 of circuit 4 -- done
rank 5 | trajectory 124 of circuit 3 -- done
rank 13 | trajectory 77 of circuit 5 -- done
rank 10 | trajectory 179 of circuit 2 -- done
rank 18 | trajectory 126 of circuit 2 -- done
rank 3 | trajectory 2 of circuit 4 -- done
rank 4 | trajectory 111 of circuit 3 -- done
rank 24 | trajectory 108 of circuit 3 -- done
rank 10 | trajectory 167 of circuit 3 -- done
rank 24 | trajectory 73 of circuit 3 -- done
rank 22 | trajectory 54 of circuit 3 -- done
rank 1 | trajectory 83 of circuit 4 -- done
rank 19 | trajectory 120 of circuit 4 -- done
rank 14 | trajectory 115 of circuit 3 -- done
rank 15 | trajectory 153 of circuit 4 -- done
rank 7 | trajectory 52 of circuit 3 -- done
rank 0 | trajectory 72 of circuit 3 -- done
rank 9 | trajectory 65 of circuit 3 -- done
rank 20 | trajectory 141 of circuit 2 -- done
rank 3 | trajectory 23 of circuit 4 -- done
rank 21 | trajectory 16 of circuit 3 -- done
rank 7 | trajectory 113 of circuit 3 -- done
rank 10 | trajectory 95 of circuit 2 -- done
rank 21 | trajectory 165 of circuit 3 -- done
rank 1 | trajectory 191 of circuit 5 -- done
rank 25 | trajectory 10 of circuit 4 -- done
rank 5 | trajectory 2 of circuit 3 -- done
rank 24 | trajectory 141 of circuit 3 -- done
rank 3 | trajectory 14 of circuit 4 -- done
rank 13 | trajectory 109 of circuit 2 -- done
rank 19 | trajectory 126 of circuit 3 -- done
rank 19 | trajectory 105 of circuit 3 -- done
rank 5 | trajectory 184 of circuit 1 -- done
rank 17 | trajectory 156 of circuit 3 -- done
rank 17 | trajectory 57 of circuit 5 -- done
rank 5 | trajectory 143 of circuit 4 -- done
rank 5 | trajectory 65 of circuit 2 -- done
rank 9 | trajectory 101 of circuit 3 -- done
