┌ Warning: The Pkg REPL mode is intended for interactive use only, and should not be used from scripts. It is recommended to use the functional API instead.
└ @ Pkg.REPLMode ~/.julia/juliaup/julia-1.10.3+0.x64.linux.gnu/share/julia/stdlib/v1.10/Pkg/src/REPLMode/REPLMode.jl:382
┌ Warning: The Pkg REPL mode is intended for interactive use only, and should not be used from scripts. It is recommended to use the functional API instead.
└ @ Pkg.REPLMode ~/.julia/juliaup/julia-1.10.3+0.x64.linux.gnu/share/julia/stdlib/v1.10/Pkg/src/REPLMode/REPLMode.jl:382




---------------------------------------------
start:2024-06-03T22:35:47.842
---------------------------------------------




rank 31 | trajectory 29 of circuit 100 -- done
rank 13 | trajectory 91 of circuit 88 -- done
rank 10 | trajectory 137 of circuit 94 -- done
rank 28 | trajectory 82 of circuit 94 -- done
rank 39 | trajectory 15 of circuit 94 -- done
rank 34 | trajectory 15 of circuit 99 -- done
rank 22 | trajectory 47 of circuit 85 -- done
rank 8 | trajectory 149 of circuit 89 -- done
rank 4 | trajectory 117 of circuit 97 -- done
rank 13 | trajectory 42 of circuit 85 -- done
rank 46 | trajectory 109 of circuit 97 -- done
rank 15 | trajectory 1 of circuit 98 -- done
rank 37 | trajectory 87 of circuit 92 -- done
rank 45 | trajectory 95 of circuit 99 -- done
rank 16 | trajectory 177 of circuit 94 -- done
rank 1 | trajectory 134 of circuit 99 -- done
rank 17 | trajectory 1 of circuit 95 -- done
rank 15 | trajectory 155 of circuit 96 -- done
rank 8 | trajectory 137 of circuit 87 -- done
rank 10 | trajectory 15 of circuit 95 -- done
rank 49 | trajectory 24 of circuit 96 -- done
rank 27 | trajectory 16 of circuit 89 -- done
rank 29 | trajectory 134 of circuit 93 -- done
rank 26 | trajectory 2 of circuit 93 -- done
rank 29 | trajectory 146 of circuit 100 -- done
rank 46 | trajectory 41 of circuit 100 -- done
rank 26 | trajectory 74 of circuit 88 -- done
rank 44 | trajectory 10 of circuit 99 -- done
rank 22 | trajectory 25 of circuit 94 -- done
rank 46 | trajectory 88 of circuit 95 -- done
rank 14 | trajectory 117 of circuit 98 -- done
rank 3 | trajectory 84 of circuit 97 -- done
rank 10 | trajectory 135 of circuit 94 -- done
rank 28 | trajectory 131 of circuit 85 -- done
rank 41 | trajectory 49 of circuit 92 -- done
rank 27 | trajectory 129 of circuit 90 -- done
rank 16 | trajectory 44 of circuit 88 -- done
rank 33 | trajectory 101 of circuit 88 -- done
rank 25 | trajectory 53 of circuit 90 -- done
rank 22 | trajectory 30 of circuit 98 -- done
rank 48 | trajectory 163 of circuit 100 -- done
rank 9 | trajectory 25 of circuit 86 -- done
rank 28 | trajectory 21 of circuit 94 -- done
rank 28 | trajectory 65 of circuit 96 -- done
rank 26 | trajectory 178 of circuit 96 -- done
rank 9 | trajectory 36 of circuit 90 -- done
rank 33 | trajectory 6 of circuit 89 -- done
rank 27 | trajectory 147 of circuit 94 -- done
rank 4 | trajectory 99 of circuit 97 -- done
rank 41 | trajectory 34 of circuit 90 -- done
rank 27 | trajectory 98 of circuit 93 -- done
rank 49 | trajectory 50 of circuit 96 -- done
rank 13 | trajectory 115 of circuit 86 -- done
rank 18 | trajectory 77 of circuit 99 -- done
rank 11 | trajectory 137 of circuit 92 -- done
rank 8 | trajectory 40 of circuit 98 -- done
rank 33 | trajectory 147 of circuit 91 -- done
rank 37 | trajectory 43 of circuit 100 -- done
rank 9 | trajectory 138 of circuit 87 -- done
rank 22 | trajectory 120 of circuit 82 -- done
rank 47 | trajectory 147 of circuit 98 -- done
rank 2 | trajectory 106 of circuit 100 -- done
rank 17 | trajectory 40 of circuit 92 -- done
rank 12 | trajectory 108 of circuit 100 -- done
