



---------------------------------------------
start:2024-07-05T00:07:28.471
---------------------------------------------




rank 7 | trajectory 3078 of circuit 2 -- done
rank 8 | trajectory 2728 of circuit 2 -- done
rank 17 | trajectory 1206 of circuit 2 -- done
rank 9 | trajectory 1579 of circuit 1 -- done
rank 1 | trajectory 2243 of circuit 1 -- done
rank 5 | trajectory 2227 of circuit 1 -- done
rank 22 | trajectory 3075 of circuit 1 -- done
rank 20 | trajectory 2324 of circuit 1 -- done
rank 8 | trajectory 728 of circuit 1 -- done
rank 6 | trajectory 2328 of circuit 1 -- done
rank 20 | trajectory 3824 of circuit 1 -- done
rank 12 | trajectory 2696 of circuit 1 -- done
rank 8 | trajectory 1253 of circuit 1 -- done
rank 8 | trajectory 3212 of circuit 1 -- done
rank 7 | trajectory 2428 of circuit 2 -- done
rank 23 | trajectory 2225 of circuit 1 -- done
rank 21 | trajectory 408 of circuit 3 -- done
rank 24 | trajectory 2459 of circuit 2 -- done
rank 10 | trajectory 2129 of circuit 1 -- done
rank 24 | trajectory 2375 of circuit 1 -- done
rank 10 | trajectory 579 of circuit 1 -- done
rank 21 | trajectory 3791 of circuit 1 -- done
rank 16 | trajectory 1381 of circuit 1 -- done
rank 7 | trajectory 1578 of circuit 2 -- done
rank 4 | trajectory 1127 of circuit 1 -- done
rank 16 | trajectory 1531 of circuit 1 -- done
rank 17 | trajectory 2598 of circuit 1 -- done
rank 12 | trajectory 2813 of circuit 1 -- done
rank 2 | trajectory 3376 of circuit 1 -- done
rank 16 | trajectory 2864 of circuit 1 -- done
rank 17 | trajectory 2698 of circuit 2 -- done
rank 15 | trajectory 2014 of circuit 2 -- done
rank 10 | trajectory 904 of circuit 1 -- done
rank 22 | trajectory 1133 of circuit 1 -- done
rank 20 | trajectory 1282 of circuit 1 -- done
rank 20 | trajectory 2941 of circuit 1 -- done
rank 1 | trajectory 1943 of circuit 2 -- done
rank 23 | trajectory 2658 of circuit 2 -- done
rank 4 | trajectory 3794 of circuit 1 -- done
rank 1 | trajectory 1901 of circuit 1 -- done
rank 7 | trajectory 878 of circuit 1 -- done
rank 23 | trajectory 3642 of circuit 1 -- done
rank 21 | trajectory 2991 of circuit 3 -- done
rank 20 | trajectory 2224 of circuit 1 -- done
rank 24 | trajectory 1684 of circuit 1 -- done
rank 11 | trajectory 3579 of circuit 1 -- done
rank 4 | trajectory 2944 of circuit 2 -- done
rank 14 | trajectory 2830 of circuit 2 -- done
rank 22 | trajectory 2758 of circuit 1 -- done
rank 7 | trajectory 2861 of circuit 1 -- done
rank 4 | trajectory 1202 of circuit 2 -- done
rank 13 | trajectory 2863 of circuit 1 -- done
rank 9 | trajectory 2779 of circuit 1 -- done
rank 21 | trajectory 1208 of circuit 1 -- done
rank 2 | trajectory 626 of circuit 1 -- done
rank 20 | trajectory 2907 of circuit 1 -- done
rank 5 | trajectory 1877 of circuit 1 -- done
rank 20 | trajectory 3324 of circuit 1 -- done
rank 16 | trajectory 3798 of circuit 1 -- done
rank 18 | trajectory 2615 of circuit 1 -- done
rank 7 | trajectory 78 of circuit 2 -- done
rank 5 | trajectory 2727 of circuit 1 -- done
